ID,Sentence,Sentence_clean,sentiment
1,The results in 2nd line treatment show an ORR of 33% with some patients having durable responses resulting in an apparent PFS plateau,results nd line treatment show orr  patients durable responses resulting apparent pfs plateau,Positive
2,The long duration of response and high durable response rate observed after 6-month minimum follow-up is further substantiated by the 12-months minimum follow-up analysis,long duration response high durable response rate observed month minimum followup substantiated months minimum followup analysis,Positive
4,"Therefore, the clinical benefit in 2nd line treatment is considered clinically meaningful and the magnitude of the effect is significant compared to chemotherapy",therefore clinical benefit nd line treatment considered clinically meaningful magnitude effect significant compared chemotherapy,Positive
5,"The data provided in 1st line, although preliminary, showed activity of avelumab in mMCC in terms of response rate, and evidence of a similar durable response from the small subset of patients with a longer follow-up compared to 2nd line treatment",data provided st line although preliminary showed activity avelumab mmcc terms response rate evidence similar durable response small subset patients longer followup compared nd line treatment,Positive
6,"Taking into account the intrinsic limitation of single arm studies, the rarity of the disease and the challenges to compare the results with data from historical controls and in the literature, the currently available data are deemed to support the efficacy of avelumab in both pre-treated and chemotherapy-naïve patients",taking account intrinsic limitation single arm studies rarity disease challenges compare results data historical controls literature currently available data deemed support efficacy avelumab pretreated chemotherapynave patients,Positive
15,The safety data collected at an earlier data cut remains consistent with longer follow up ,safety data collected earlier data cut remains consistent longer follow,Positive
16,No major concerns have been identified in the updated analysis,major concerns identified updated analysis,Positive
17,The safety of avelumab in the proposed indication appears to be acceptable and manageable with the recommendations as proposed in the SmPC and the RMP,safety avelumab proposed indication appears acceptable manageable recommendations proposed smpc rmp,Positive
21,Biosimilarity of CT-P10 and MabThera is considered demonstrated based on the efficacy data.,biosimilarity ctp mabthera considered demonstrated based efficacy data,Positive
22,"In the pivotal RA trial, efficacy results in terms of DAS28 and ACR were shown to be comparable between CT-P10 and MabThera.",pivotal ra trial efficacy results terms das acr shown comparable ctp mabthera,Positive
23,"In addition, PK data discussed support the extrapolation to the autoimmune indications MPA/GPA.",addition pk data discussed support extrapolation autoimmune indications mpagpa,Positive
24,"The objectives of study CT-P10 3.3 were to demonstrate similarity in pharmacokinetics and non-inferiority in efficacy of CT-P10 to Rituxan as primary endpoints when coadministered with CVP in patients with advanced FL; these objectives have been met and furthermore, extrapolation in the context of NHL and CLL indications is acceptable.",objectives study ctp  demonstrate similarity pharmacokinetics noninferiority efficacy ctp rituxan primary endpoints coadministered cvp patients advanced fl objectives met furthermore extrapolation context nhl cll indications acceptable,Positive
26,"Therefore, the available safety data are considered supportive of biosimilarity between CT-P10 and MabThera.",therefore available safety data considered supportive biosimilarity ctp mabthera,Positive
28,The frequencies and nature of the adverse events were in line with those reported for the innovator MabThera/Rituxan in the RA and NLH study populations.,frequencies nature adverse events line reported innovator mabtherarituxan ra nlh study populations,Positive
32,A summary of the literature with regard to clinical data of Daptomycin Hospira and justifications that the product is essentially similar in properties with regards to safety and efficacy of the reference product was provided and was accepted by the CHMP.,summary literature regard clinical data daptomycin hospira justifications product essentially similar properties regards safety efficacy reference product provided accepted chmp,Positive
33,This is in accordance with the relevant guideline and additional clinical studies were not considered necessary.,accordance relevant guideline additional clinical studies considered necessary,Positive
34,The superiority to placebo was demonstrated for both dupilumab doses as monotherapy or in combination with TCS in AD patients who are insufficiently controlled with topical therapies alone.,superiority placebo demonstrated dupilumab doses monotherapy combination tcs ad patients insufficiently controlled topical therapies alone,Positive
37,"Based on the presented and available data, dupilumab has been found to have an acceptable safety profile.",based presented available data dupilumab found acceptable safety profile,Positive
45,Furthermore according to the meta-analysis of the four pivotal studies performed in patients meeting the ESSIC classification 2X to 3C the pooled response rate under PPS treatment was 2-fold higher than the pooled response rate under placebo (“GRA” primary endpoint and also pain and urgency)and efficacy of PPS was considered sufficiently demonstrated in this population,furthermore according metaanalysis four pivotal studies performed patients meeting essic classification x c pooled response rate pps treatment fold higher pooled response rate placebo gra primary endpoint pain urgencyand efficacy pps considered sufficiently demonstrated population,Positive
46,"Overall, the safety profile of PPS is not considered of concern.",overall safety profile pps considered concern,Positive
48,This risk is adequately addressed in various sections of the SmPC and as important identified risk in the RMP.,risk adequately addressed various sections smpc important identified risk rmp,Positive
49,Based on the presented bioequivalence study the test formulation Emtricitabine/Tenofovir disoproxil Krka d.d. 200mg/245mg film coated tablets of Krka d.d. Slovenia is considered bioequivalent with the reference Truvada 200mg/245mg film coated tablets manufactured by Gilead Sciences Intl. Ltd. Ireland MA holder: Gilead Sciences UK.,based presented bioequivalence study test formulation emtricitabinetenofovir disoproxil krka dd mgmg film coated tablets krka dd slovenia considered bioequivalent reference truvada mgmg film coated tablets manufactured gilead sciences intl ltd ireland ma holder gilead sciences uk,Positive
50,The application contains an adequate review of published clinical data and the bioequivalence has been shown between Granpidam and Viagra® 100 mg film-coated tablets.,application contains adequate review published clinical data bioequivalence shown granpidam viagra  mg filmcoated tablets,Positive
51,A biowaiver for the 20 mg strength is considered acceptable.,biowaiver  mg strength considered acceptable,Positive
52,Based on the presented bioequivalence study Granpidam is considered bioequivalent with Viagra (reference product used).,based presented bioequivalence study granpidam considered bioequivalent viagra reference product used,Positive
53,"The results of study 084-09 with 100mg formulation can be extrapolated to other strengths 20mg, according to conditions in the Guidelines.",results study  mg formulation extrapolated strengths mg according conditions guidelines,Positive
54,The results presented on efficacy support the biosimilarity claim between the test product SB5 and the reference product EU Humira.,results presented efficacy support biosimilarity claim test product sb reference product eu humira,Positive
55,The number of subjects is sufficient for comparing the safety profile of the biosimilar candidate SB5 and reference medicinal product EU-Humira and studying the safety of a biosimilar product for up to one year.,number subjects sufficient comparing safety profile biosimilar candidate sb reference medicinal product euhumira studying safety biosimilar product one year,Positive
56,"Broadly, the number, severity and type of TEAEs, SAEs, AEs of special interest, treatment discontinuations due to AEs, laboratory findings were comparable between SB5 and Humira and mirroring the safety profile as described in the SmPC of Humira.",broadly number severity type teaes saes aes special interest treatment discontinuations due aes laboratory findings comparable sb humira mirroring safety profile described smpc humira,Positive
57,"The frequency of related AEs, severity of AEs and AESIs remained similar for the group who transitioned from Humira to SB5 at week 24.",frequency related aes severity aes aesis remained similar group transitioned humira sb week ,Positive
59,The submitted additional analyses further support the comparability of the safety profile of SB5 and Humira.,submitted additional analyses support comparability safety profile sb humira,Positive
60,"With regard to immunogenicity, the incidence and titre distribution of ADAs were compared and seemed similar for SB5 and Humira, with about half of all subjects developing neutralising antibodies in each treatment group.",regard immunogenicity incidence titre distribution adas compared seemed similar sb humira half subjects developing neutralising antibodies treatment group,Positive
61,No worsening of the immunogenicity profile was observed after transitioning from Humira to SB5.,worsening immunogenicity profile observed transitioning humira sb,Positive
63,"In light of established biosimilarity on quality level, the remaining uncertainty that the safety profile of Inhixa and Clexane differs significantly was considered low enough to conclude on similarity.",light established biosimilarity quality level remaining uncertainty safety profile inhixa clexane differs significantly considered low enough conclude similarity,Positive
66,This data is considered supportive in establishing biosimilarity.,data considered supportive establishing biosimilarity,Positive
67,"Both studies, demonstrated that SAR342434 is non-inferior to Humalog in improvement of glycaemic control by Week 26 and therefore provided strong supportive evidence about the comparability/ biosimilarity of the two products.",studies demonstrated sar noninferior humalog improvement glycaemic control week  provided strong supportive evidence comparability biosimilarity two products,Positive
68,The 12-month results of study EFC12619 further supported similar clinical efficacy of SAR342434 and Humalog in T1DM subjects.,month results study efc supported similar clinical efficacy sar humalog tdm subjects,Positive
69,The size of the safety database and duration of exposure is considered appropriate for the evaluation of the general safety profile of Insulin lispro Sanofi.,size safety database duration exposure considered appropriate evaluation general safety profile insulin lispro sanofi,Positive
70,Safety and tolerability of Insulin lispro Sanofi and Humalog seem to be comparable and thus support biosimilarity of these two products.,safety tolerability insulin lispro sanofi humalog seem comparable thus support biosimilarity two products,Positive
72,Treatment-emergent AIA did not affect efficacy or safety endpoints in either T1DM or T2DM subjects.,treatmentemergent aia affect efficacy safety endpoints either tdm tdm subjects,Positive
73,"In conclusion, the safety profile of Insulin lispro Sanofi is acceptable and not different to that of Humalog.",conclusion safety profile insulin lispro sanofi acceptable different humalog,Positive
74,"The bioequivalence of the applied product Ivabradine, film-coated tablets, 7.5 mg with the respective strength of the reference product Procoralan film-coated tablets of Les Laboratoires Servier has been demonstrated in one bioequivalence study (study 14-VIN-785).",bioequivalence applied product ivabradine filmcoated tablets  mg respective strength reference product procoralan filmcoated tablets les laboratoires servier demonstrated one bioequivalence study study vin,Positive
75,"The study has been performed under fed conditions, which reflects recommendations in the brand leader’s SPC for the administration of the product.",study performed fed conditions reflects recommendations brand leaders spc administration product,Positive
76,The sample size was calculated to provide adequate power of bioequivalence analysis.,sample size calculated provide adequate power bioequivalence analysis,Positive
77,The statistical methodology used in the studies is justified and consistent with the principles of guidelines on the investigation of bioequivalence.,statistical methodology used studies justified consistent principles guidelines investigation bioequivalence,Positive
78,In accordance with the study protocol the study meets the bioequivalence criteria as 90% confidence intervals for the ln-transformed pharmacokinetic parameters Cmax and AUC0-t for ivabradine is within the acceptance range of 80.00% - 125.00% with power (1-β) 99.45 and 99.99 respectively.,accordance study protocol study meets bioequivalence criteria  confidence intervals lntransformed pharmacokinetic parameters cmax auct ivabradine within acceptance range   power    respectively,Positive
79,The bioequivalence study appears to have been well conducted.,bioequivalence study appears well conducted,Positive
80,"An acceptable justification for a biowaiver of Ivabradine Hydrochloride, 5 mg, film-coated tablets has been provided.",acceptable justification biowaiver ivabradine hydrochloride  mg filmcoated tablets provided,Positive
81,"to the EMA Guideline on the Investigation of Bioequivalence (CPMP/EWP/QWP/1401/98 Rev. 1/ Corr **), Ivabradine 5 mg film-coated tablets satisfy the conditions for waiver of bioequivalence studies conducted on the applied product 7.5 mg strength.",ema guideline investigation bioequivalence cpmpewpqwp rev  corr ivabradine  mg filmcoated tablets satisfy conditions waiver bioequivalence studies conducted applied product  mg strength,Positive
82,"The efficacy data of the two phase 3 placebo-controlled studies in patients who received background DMARDs showed that both dose regimens of sarilumab (150 mg q2w, 200 mg q2w) were superior to placebo regarding improvement of signs and symptoms (ACR20 responses), of physical function (change from baseline in HAQ-DI) and of progression in structural damage (mTSS, only study EFC11072).",efficacy data two phase  placebocontrolled studies patients received background dmards showed dose regimens sarilumab  mg qw  mg qw superior placebo regarding improvement signs symptoms acr responses physical function change baseline haqdi progression structural damage mtss study efc,Positive
83,The active-comparator study demonstrated the efficacy of sarilumab as monotherapy and relative to the biologic DMARD adalimumab.,activecomparator study demonstrated efficacy sarilumab monotherapy relative biologic dmard adalimumab,Positive
84,"Overall, data of the submitted studies are considered overall adequate to identify the patient population of the indication.",overall data submitted studies considered overall adequate identify patient population indication,Positive
87,No new safety concerns were identified during the development program in the clinical trial population.,new safety concerns identified development program clinical trial population,Positive
88,The efficacy of the combination of lenvatinib with everolimus has been shown.,efficacy combination lenvatinib everolimus shown,Positive
89,Lenvatinib/everolimus combination therapy demonstrated improved PFS compared to everolimus monotherapy with a median PFS of 14.6 months vs. 5.5 months.,lenvatinibeverolimus combination therapy demonstrated improved pfs compared everolimus monotherapy median pfs  months vs  months,Positive
90,Additional sensitivity analyses performed confirmed the robustness of observed PFS.,additional sensitivity analyses performed confirmed robustness observed pfs,Positive
91,"Furthermore, encouraging signs of a prolonged OS were seen in patients treated with the combination of lenvatinib and everolimus combination therapy as per the primary analysis as well as the two updated analyses that span a more than 1-year period.",furthermore encouraging signs prolonged os seen patients treated combination lenvatinib everolimus combination therapy per primary analysis well two updated analyses span year period,Positive
92,A similar trend towards prolonged OS was also observed in favour of lenvatinib monotherapy but less obvious than with combination therapy.,similar trend towards prolonged os observed favour lenvatinib monotherapy less obvious combination therapy,Positive
93,The overall safety profile of lenvatinib-everolimus combination is consistent with known safety profiles of its components observed either in other indications (for lenvatinib) or in the intended indication (for everolimus).,overall safety profile lenvatinibeverolimus combination consistent known safety profiles components observed either indications for lenvatinib intended indication for everolimus,Positive
94,The reported toxicity was in general predictable and manageable.,reported toxicity general predictable manageable,Positive
95,No new safety signal has been reported.,new safety signal reported,Positive
96,"However, most of these adverse events were well managed by dose reduction, interruption or by additional medical treatment.",however adverse events well managed dose reduction interruption additional medical treatment,Positive
106,"Based on the available data, the CHMP considered that all criteria for a BCS-based biowaiver were met. ",based available data chmp considered criteria bcsbased biowaiver met,Positive
107,"Therefore the absence of a bioequivalence study was considered justified and the CHMP concluded that no clinical data were needed to support the application for Lacosamide Accord 50 mg, 100 mg, 150 mg and 200 mg film-coated tablets as a generic medicinal product to Vimpat.",absence bioequivalence study considered justified chmp concluded clinical data needed support application lacosamide accord  mg  mg  mg  mg filmcoated tablets generic medicinal product vimpat,Positive
108,"Overall, the available clinical efficacy data were considered adequate to support the use of cladribine in the treatment of adult patients with highly active RMS as defined by clinical or imaging features.",overall available clinical efficacy data considered adequate support use cladribine treatment adult patients highly active rms defined clinical imaging features,Positive
109,Results from the pivotal study CLARITY showed a clinically relevant effect of cladribine in patients with RMS in terms of reduction of relapse rate as well as MRI lesions and delay in disability progression.,results pivotal study clarity showed clinically relevant effect cladribine patients rms terms reduction relapse rate well mri lesions delay disability progression,Positive
111,"Furthermore, data in SPMS patients with superimposed relapses, although very limited, supported a beneficial effect of cladribine on the relapse rate in this population.",furthermore data spms patients superimposed relapses although limited supported beneficial effect cladribine relapse rate population,Positive
113,The data furthermore support the use of a cumulative dose of 3.5 mg/kg to be administered in 2 courses each for 2 years.,data furthermore support use cumulative dose  mgkg administered  courses  years,Positive
114,Maintenance of the treatment effect in year 3 and 4 was supported by long-term data from CLARITY EXT.,maintenance treatment effect year   supported longterm data clarity ext,Positive
116,"Overall, the CHMP was of the view that the available clinical safety data were adequate for the purpose of assessing the safety of cladribine for the use as treatment of adult patients with highly active RMS.",overall chmp view available clinical safety data adequate purpose assessing safety cladribine use treatment adult patients highly active rms,Positive
119,"Overall, the risk minimisation measures including the safety information in the product information as well as the prescriber and patient guide were considered adequate to address the risks with cladribine treatment, while further data are gathered in the post-marketing setting",overall risk minimisation measures including safety information product information well prescriber patient guide considered adequate address risks cladribine treatment data gathered postmarketing setting,Positive
121,In the HCV GT1-infected population (the most widely represented in the EU) the observed results -with 99% SVR12 achieved with a convenient 8 weeks treatment duration in non-cirrhotic TN or TE-PRS patients and 97% in cirrhotic patients with a 12 weeks treatment duration- support the fact that this FDC will represent an optimization in the therapeutic armamentarium. ,hcv gtinfected population the widely represented eu observed results with  svr achieved convenient  weeks treatment duration noncirrhotic tn teprs patients  cirrhotic patients  weeks treatment duration support fact fdc will represent optimization therapeutic armamentarium,Positive
123,"CHMP thus acknowledged that the applicant’s proposal for a treatment recommendation could overall be followed in DAA treatment naïve patients, having in mind the possibility of bridging efficacy from GT1 based on comparable in vitro activity leading to favour a simplified regimen for a programmatic approach to HCV eradication (targeted by 2030 by WHO).",chmp thus acknowledged applicants proposal treatment recommendation overall followed daa treatment nave patients mind possibility bridging efficacy gt based comparable vitro activity leading favour simplified regimen programmatic approach hcv eradication targeted  who,Positive
125,The safety profile of Maviret (glecaprevir/pibrentasvir) is favourable with no major concern identified.,safety profile maviret glecaprevirpibrentasvir favourable major concern identified,Positive
127,This has been appropriately covered in the Maviret SmPC by the addition of a contra-indication with EE-containing medicines.,appropriately covered maviret smpc addition contraindication eecontaining medicines,Positive
130,The concerns raised during the procedure regarding the BE have been satisfactorily answered and the product is approvable from the clinical point of view.,concerns raised procedure regarding satisfactorily answered product approvable clinical point view,Positive
133,The CHMP considered this application acceptable from clinical point of view.,chmp considered application acceptable clinical point view,Positive
134,A summary of the literature with regard to clinical data of Pemetrexed Hospira UK Limited and justifications that the different salt of the active substance does not differ significantly in properties with regards to safety and efficacy of the reference product was provided and was accepted by the CHMP. ,summary literature regard clinical data pemetrexed hospira uk limited justifications different salt active substance differ significantly properties regards safety efficacy reference product provided accepted chmp,Positive
136,A single dose bioequivalence study was considered sufficient since the application concerns an immediate release formulation.,single dose bioequivalence study considered sufficient application concerns immediate release formulation,Positive
167,"Since Rolufta application is an informed consent of Incruse application, the clinical data in support of the Rolufta application are identical to the up-to-date clinical data of Incruse dossier, which have been assessed and authorised (including all post-marketing procedures).",rolufta application informed consent incruse application clinical data support rolufta application identical uptodate clinical data incruse dossier assessed authorised including postmarketing procedures,Positive
168,"Overall, ABP 501 has in the RA study shown similarity to adalimumab in several analyses.",overall abp  ra study shown similarity adalimumab several analyses,Positive
169,"The primary endpoint was met, and similarity at week 24 was indicated with low point estimates and narrow CI intervals both for ACR20 RR and Risk Difference.",primary endpoint met similarity week  indicated low point estimates narrow ci intervals acr rr risk difference,Positive
170,Also mean change in DAS28-CRP showed high similarity at all visits.,mean change dascrp showed high similarity visits,Positive
172,"However, these results are not seen for DAS28 which is favourable, or for ACR50 or ACR70, and as such it is concluded, that the difference seen at week 2 in ACR20 is likely to be a chance finding rather than a true difference.",however results seen das favourable acr acr concluded difference seen week  acr likely chance finding rather true difference,Positive
173,"Also the psoriasis study met the primary endpoint with a point estimate of difference of 2% with narrow CIs, indicating similarity.",psoriasis study met primary endpoint point estimate difference  narrow cis indicating similarity,Positive
175,"Overall, clinical similarity between ABP 501 and adalimumab has been demonstrated.",overall clinical similarity abp  adalimumab demonstrated,Positive
176,The safety profile of ABP 501 and Humira is considered comparable.,safety profile abp  humira considered comparable,Positive
177,"The majority of treated infants with infantile-onset SMA achieved improvement, with a great proportion reaching a clinically meaningful and continued improvements in motor milestones (e.g. independent sitting, standing and walking), muscle strength, and motor function that exceed those of the sham control-treated infants in Study CS3B and the natural history of the disease, where a progressive loss of motor function is observed",majority treated infants infantileonset sma achieved improvement great proportion reaching clinically meaningful continued improvements motor milestones eg independent sitting standing walking muscle strength motor function exceed sham controltreated infants study csb natural history disease progressive loss motor function observed,Positive
178,Data from treated pre-symptomatic infants with genetically confirmed SMA show that they are achieving motor milestones and developing muscle strength and motor function with the nusinersen treatment that are more consistent with those of normal infants than symptomatic infants with SMA,data treated presymptomatic infants genetically confirmed sma show achieving motor milestones developing muscle strength motor function nusinersen treatment consistent normal infants symptomatic infants sma,Positive
179,Subjects with later-onset SMA who received nusinersen achieved and maintained motor function across multiple measures and milestones such as the ability to walk that are completely inconsistent with natural history,subjects lateronset sma received nusinersen achieved maintained motor function across multiple measures milestones ability walk completely inconsistent natural history,Positive
181,Data from the ongoing studies in infantile-onset SMA support that treatment with nusinersen has the potential to prolong overall and event-free survival,data ongoing studies infantileonset sma support treatment nusinersen potential prolong overall eventfree survival,Positive
182,"They also support the need for early treatment with nusinersen, since shortly after the loading phase was complete, the rate of ventilation among nusinersen-treated subjects separated from that of the controls",support need early treatment nusinersen shortly loading phase complete rate ventilation among nusinersentreated subjects separated controls,Positive
183,"Taken together, these data demonstrate consistently that nusinersen has produced meaningful benefits across a broad range of SMA phenotypes",taken together data demonstrate consistently nusinersen produced meaningful benefits across broad range sma phenotypes,Positive
